Match_ID,Match_Date,Pitch_Type,Phase,Over,Ball,Bowler,Batter_Avg,Batter_SR,Runs_Conceded,Is_Wicket,Is_Death,Is_Dot,Is_Pressure_Ball,Next_Is_Wicket,Next_Over,Next_Ball,Valid_Next,Bowler_B,Pitch_Batting,Pitch_Bowling,Pitch_Neutral,Batter_Avg_z
11943,15-Mar-22,Batting,Powerplay,5,1,Bowler B,45.49,134.07,0,0,0,1,0,0,5.0,2.0,1,0,True,False,False,1.4292904814676581
11943,15-Mar-22,Batting,Powerplay,5,2,Bowler B,34.16,178.53,2,0,0,0,0,0,5.0,3.0,1,0,True,False,False,0.2717299818692697
11943,15-Mar-22,Batting,Powerplay,5,3,Bowler B,21.06,127.07,4,0,0,0,0,0,5.0,4.0,1,0,True,False,False,-1.066667418372467
11943,15-Mar-22,Batting,Powerplay,5,4,Bowler B,30.44,131.88,0,0,0,1,0,0,5.0,5.0,1,0,True,False,False,-0.10833401270319248
11943,15-Mar-22,Batting,Powerplay,5,5,Bowler B,25.89,137.37,6,0,0,0,0,0,5.0,6.0,1,0,True,False,False,-0.573197231871124
11943,15-Mar-22,Batting,Powerplay,6,1,Bowler B,20.17,114.89,0,0,0,1,0,0,6.0,2.0,1,0,True,False,False,-1.1575967073965236
11943,15-Mar-22,Batting,Powerplay,6,2,Bowler B,28.55,100.5,1,0,0,0,0,0,6.0,3.0,1,0,True,False,False,-0.30143104220371797
11943,15-Mar-22,Batting,Powerplay,6,3,Bowler B,29.54,121.72,1,0,0,0,0,0,6.0,4.0,1,0,True,False,False,-0.20028497913201432
11943,15-Mar-22,Batting,Powerplay,6,4,Bowler B,38.07,132.09,0,0,0,1,0,0,6.0,5.0,1,0,True,False,False,0.6712058471322618
11943,15-Mar-22,Batting,Powerplay,6,5,Bowler B,29.62,110.9,6,0,0,0,0,0,6.0,6.0,1,0,True,False,False,-0.19211155989389664
11943,15-Mar-22,Batting,Death,18,1,Bowler B,32.9,151.56,6,0,1,0,0,0,18.0,2.0,1,0,True,False,False,0.14299862886891967
11943,15-Mar-22,Batting,Death,18,2,Bowler B,40.48,164.51,2,0,1,0,0,0,18.0,3.0,1,0,True,False,False,0.9174301016805505
11943,15-Mar-22,Batting,Death,18,3,Bowler B,45.13,161.81,3,0,1,0,0,0,18.0,4.0,1,0,True,False,False,1.3925100948961295
11943,15-Mar-22,Batting,Death,18,4,Bowler B,24.18,119.95,6,0,1,0,0,1,18.0,5.0,1,0,True,False,False,-0.7479040680858853
11943,15-Mar-22,Batting,Death,18,5,Bowler B,35.3,151.31,0,1,1,1,1,0,18.0,6.0,1,0,True,False,False,0.38820120601244384
11943,15-Mar-22,Batting,Death,19,1,Bowler B,23.83,131.87,1,0,1,0,0,0,19.0,2.0,1,0,True,False,False,-0.7836627772526493
11943,15-Mar-22,Batting,Death,19,2,Bowler B,49.95,122.82,6,0,1,0,0,0,19.0,3.0,1,0,True,False,False,1.8849586039927075
11943,15-Mar-22,Batting,Death,19,3,Bowler B,25.29,136.24,3,0,1,0,0,0,19.0,4.0,1,0,True,False,False,-0.6344978761570053
11943,15-Mar-22,Batting,Death,19,4,Bowler B,41.82,155.8,0,0,1,1,1,1,19.0,5.0,1,0,True,False,False,1.0543348739190186
11943,15-Mar-22,Batting,Death,19,5,Bowler B,35.7,173.5,0,1,1,1,1,0,19.0,6.0,1,0,True,False,False,0.4290683022030318
11951,17-Jan-22,Bowling,Powerplay,3,1,Bowler A,35.62,116.14,0,0,0,1,0,0,3.0,2.0,1,0,False,True,False,0.4208948829649138
11951,17-Jan-22,Bowling,Powerplay,3,2,Bowler A,18.6,141.01,0,0,0,1,0,1,3.0,3.0,1,0,False,True,False,-1.3180000599445791
11951,17-Jan-22,Bowling,Powerplay,3,3,Bowler A,36.01,115.58,0,1,0,1,0,0,3.0,4.0,1,0,False,True,False,0.46074030175073655
11951,17-Jan-22,Bowling,Powerplay,3,4,Bowler A,29.26,141.83,0,0,0,1,0,0,3.0,5.0,1,0,False,True,False,-0.22889194646542524
11951,17-Jan-22,Bowling,Powerplay,3,5,Bowler A,32.43,144.44,0,0,0,1,0,0,3.0,6.0,1,0,False,True,False,0.09497979084497961
11951,17-Jan-22,Bowling,Powerplay,6,1,Bowler A,33.08,165.87,1,0,0,0,0,0,6.0,2.0,1,0,False,True,False,0.16138882215468398
11951,17-Jan-22,Bowling,Powerplay,6,2,Bowler A,29.76,125.34,0,0,0,1,0,0,6.0,3.0,1,0,False,True,False,-0.177808076227191
11951,17-Jan-22,Bowling,Powerplay,6,3,Bowler A,16.54,126.09,1,0,0,0,0,0,6.0,4.0,1,0,False,True,False,-1.5284656053261043
11951,17-Jan-22,Bowling,Powerplay,6,4,Bowler A,25.02,140.06,0,0,0,1,0,0,6.0,5.0,1,0,False,True,False,-0.6620831660856518
11951,17-Jan-22,Bowling,Powerplay,6,5,Bowler A,36.28,111.84,0,0,0,1,0,0,6.0,6.0,1,0,False,True,False,0.4883255916793834
11951,17-Jan-22,Bowling,Death,17,1,Bowler A,52.46,168.43,0,0,1,1,1,0,17.0,2.0,1,0,False,True,False,2.141399632588643
11951,17-Jan-22,Bowling,Death,17,2,Bowler A,33.0,154.99,0,0,1,1,1,0,17.0,3.0,1,0,False,True,False,0.15321540291656668
11951,17-Jan-22,Bowling,Death,17,3,Bowler A,50.1,176.31,2,0,1,0,0,1,17.0,4.0,1,0,False,True,False,1.9002837650641777
11951,17-Jan-22,Bowling,Death,17,4,Bowler A,14.46,197.06,0,1,1,1,1,0,17.0,5.0,1,0,False,True,False,-1.7409745055171586
11951,17-Jan-22,Bowling,Death,17,5,Bowler A,29.58,156.82,2,0,1,0,0,0,17.0,6.0,1,0,False,True,False,-0.19619826951295566
11951,17-Jan-22,Bowling,Death,20,1,Bowler A,36.44,115.19,0,0,1,1,1,0,20.0,2.0,1,0,False,True,False,0.504672430155618
11951,17-Jan-22,Bowling,Death,20,2,Bowler A,50.73,161.16,0,0,1,1,1,0,20.0,3.0,1,0,False,True,False,1.9646494415643523
11951,17-Jan-22,Bowling,Death,20,3,Bowler A,34.87,167.29,1,0,1,0,0,0,20.0,4.0,1,0,False,True,False,0.3442690776075624
11951,17-Jan-22,Bowling,Death,20,4,Bowler A,20.73,152.69,0,0,1,1,1,0,20.0,5.0,1,0,False,True,False,-1.1003827727297013
11951,17-Jan-22,Bowling,Death,20,5,Bowler A,45.98,142.4,4,0,1,0,0,0,20.0,6.0,1,0,False,True,False,1.4793526743011272
11982,14-Mar-22,Bowling,Powerplay,2,1,Bowler B,12.7,156.66,0,0,0,1,0,0,2.0,2.0,1,0,False,True,False,-1.9207897287557434
11982,14-Mar-22,Bowling,Powerplay,2,2,Bowler B,18.67,157.85,0,0,0,1,0,0,2.0,3.0,1,0,False,True,False,-1.3108483181112263
11982,14-Mar-22,Bowling,Powerplay,2,3,Bowler B,38.92,129.3,0,0,0,1,0,0,2.0,4.0,1,0,False,True,False,0.7580484265372601
11982,14-Mar-22,Bowling,Powerplay,2,4,Bowler B,34.26,143.86,1,0,0,0,0,0,2.0,5.0,1,0,False,True,False,0.28194675591691676
11982,14-Mar-22,Bowling,Powerplay,2,5,Bowler B,35.96,128.78,2,0,0,0,0,0,2.0,6.0,1,0,False,True,False,0.45563191472691345
11982,14-Mar-22,Bowling,Powerplay,3,1,Bowler B,25.11,132.68,0,0,0,1,0,0,3.0,2.0,1,0,False,True,False,-0.6528880694427696
11982,14-Mar-22,Bowling,Powerplay,3,2,Bowler B,12.48,125.8,4,0,0,0,0,0,3.0,3.0,1,0,False,True,False,-1.9432666316605662
11982,14-Mar-22,Bowling,Powerplay,3,3,Bowler B,24.27,114.38,2,0,0,0,0,0,3.0,4.0,1,0,False,True,False,-0.7387089714430031
11982,14-Mar-22,Bowling,Powerplay,3,4,Bowler B,25.06,141.49,1,0,0,0,0,0,3.0,5.0,1,0,False,True,False,-0.6579964564665931
11982,14-Mar-22,Bowling,Powerplay,3,5,Bowler B,26.72,125.8,0,0,0,1,0,0,3.0,6.0,1,0,False,True,False,-0.4883980072756554
11982,14-Mar-22,Bowling,Death,18,1,Bowler B,39.63,140.18,6,0,1,0,0,0,18.0,2.0,1,0,False,True,False,0.8305875222755529
11982,14-Mar-22,Bowling,Death,18,2,Bowler B,32.84,172.76,3,0,1,0,0,1,18.0,3.0,1,0,False,True,False,0.13686856444033207
11982,14-Mar-22,Bowling,Death,18,3,Bowler B,30.48,180.66,0,1,1,1,1,1,18.0,4.0,1,0,False,True,False,-0.10424730308413382
11982,14-Mar-22,Bowling,Death,18,4,Bowler B,47.97,148.41,0,1,1,1,1,1,18.0,5.0,1,0,False,True,False,1.6826664778492995
11982,14-Mar-22,Bowling,Death,18,5,Bowler B,32.56,160.04,0,1,1,1,1,0,18.0,6.0,1,0,False,True,False,0.10826159710692078
11982,14-Mar-22,Bowling,Death,19,1,Bowler B,32.15,169.15,0,0,1,1,1,1,19.0,2.0,1,0,False,True,False,0.06637282351156833
11982,14-Mar-22,Bowling,Death,19,2,Bowler B,34.24,116.77,0,1,1,1,1,0,19.0,3.0,1,0,False,True,False,0.27990340110738776
11982,14-Mar-22,Bowling,Death,19,3,Bowler B,34.66,155.67,6,0,1,0,0,0,19.0,4.0,1,0,False,True,False,0.32281385210750396
11982,14-Mar-22,Bowling,Death,19,4,Bowler B,62.15,180.04,1,0,1,0,0,0,19.0,5.0,1,0,False,True,False,3.131405037805622
11982,14-Mar-22,Bowling,Death,19,5,Bowler B,25.55,163.12,6,0,1,0,0,0,19.0,6.0,1,0,False,True,False,-0.6079342636331233
12853,08-Jul-22,Bowling,Powerplay,1,1,Bowler B,35.27,107.81,0,0,0,1,0,0,1.0,2.0,1,0,False,True,False,0.3851361737981504
12853,08-Jul-22,Bowling,Powerplay,1,2,Bowler B,25.61,117.02,0,0,0,1,0,0,1.0,3.0,1,0,False,True,False,-0.6018041992045353
12853,08-Jul-22,Bowling,Powerplay,1,3,Bowler B,34.37,134.34,4,0,0,0,0,0,1.0,4.0,1,0,False,True,False,0.29318520736932824
12853,08-Jul-22,Bowling,Powerplay,1,4,Bowler B,25.43,158.11,1,0,0,0,0,0,1.0,5.0,1,0,False,True,False,-0.6201943924902996
12853,08-Jul-22,Bowling,Powerplay,1,5,Bowler B,24.91,116.76,0,0,0,1,0,0,1.0,6.0,1,0,False,True,False,-0.6733216175380632
12853,08-Jul-22,Bowling,Powerplay,3,1,Bowler B,40.43,142.47,0,0,0,1,0,0,3.0,2.0,1,0,False,True,False,0.9123217146567274
12853,08-Jul-22,Bowling,Powerplay,3,2,Bowler B,31.99,124.9,2,0,0,0,0,0,3.0,3.0,1,0,False,True,False,0.050025985035333356
12853,08-Jul-22,Bowling,Powerplay,3,3,Bowler B,25.98,120.4,0,0,0,1,0,0,3.0,4.0,1,0,False,True,False,-0.5640021352282419
12853,08-Jul-22,Bowling,Powerplay,3,4,Bowler B,46.04,135.88,1,0,0,0,0,0,3.0,5.0,1,0,False,True,False,1.4854827387297154
12853,08-Jul-22,Bowling,Powerplay,3,5,Bowler B,31.16,126.51,0,0,0,1,0,0,3.0,6.0,1,0,False,True,False,-0.0347732395601353
12853,08-Jul-22,Bowling,Death,16,1,Bowler B,21.64,171.41,1,0,1,0,0,1,16.0,2.0,1,0,False,True,False,-1.007410128896115
12853,08-Jul-22,Bowling,Death,16,2,Bowler B,39.17,149.77,0,1,1,1,1,0,16.0,3.0,1,0,False,True,False,0.7835903616563773
12853,08-Jul-22,Bowling,Death,16,3,Bowler B,19.27,138.77,2,0,1,0,0,0,16.0,4.0,1,0,False,True,False,-1.2495476738253455
12853,08-Jul-22,Bowling,Death,16,4,Bowler B,37.41,115.43,2,0,1,0,0,0,16.0,5.0,1,0,False,True,False,0.6037751384177923
12853,08-Jul-22,Bowling,Death,16,5,Bowler B,9.23,143.71,0,0,1,1,1,0,16.0,6.0,1,0,False,True,False,-2.275311788209089
12853,08-Jul-22,Bowling,Death,17,1,Bowler B,45.97,178.83,1,0,1,0,0,0,17.0,2.0,1,0,False,True,False,1.4783309968963625
12853,08-Jul-22,Bowling,Death,17,2,Bowler B,17.58,159.08,0,0,1,1,1,1,17.0,3.0,1,0,False,True,False,-1.4222111552305774
12853,08-Jul-22,Bowling,Death,17,3,Bowler B,21.29,163.85,0,1,1,1,1,1,17.0,4.0,1,0,False,True,False,-1.0431688380628792
12853,08-Jul-22,Bowling,Death,17,4,Bowler B,38.13,153.71,0,1,1,1,1,0,17.0,5.0,1,0,False,True,False,0.6773359115608502
12853,08-Jul-22,Bowling,Death,17,5,Bowler B,45.8,177.54,0,0,1,1,1,0,17.0,6.0,1,0,False,True,False,1.4609624810153627
13271,03-Mar-23,Bowling,Powerplay,2,1,Bowler A,19.9,133.35,0,0,0,1,0,0,2.0,2.0,1,0,False,True,False,-1.1851819973251705
13271,03-Mar-23,Bowling,Powerplay,2,2,Bowler A,35.23,114.89,0,0,0,1,0,0,2.0,3.0,1,0,False,True,False,0.381049464179091
13271,03-Mar-23,Bowling,Powerplay,2,3,Bowler A,28.51,122.64,1,0,0,0,0,0,2.0,4.0,1,0,False,True,False,-0.3055177518227766
13271,03-Mar-23,Bowling,Powerplay,2,4,Bowler A,23.21,146.63,0,0,0,1,0,0,2.0,5.0,1,0,False,True,False,-0.8470067763480595
13271,03-Mar-23,Bowling,Powerplay,2,5,Bowler A,25.17,129.78,0,0,0,1,0,0,2.0,6.0,1,0,False,True,False,-0.6467580050141812
13271,03-Mar-23,Bowling,Powerplay,4,1,Bowler A,28.31,141.19,0,0,0,1,0,0,4.0,2.0,1,0,False,True,False,-0.3259512999180706
13271,03-Mar-23,Bowling,Powerplay,4,2,Bowler A,30.13,127.83,0,0,0,1,0,0,4.0,3.0,1,0,False,True,False,-0.14000601225089793
13271,03-Mar-23,Bowling,Powerplay,4,3,Bowler A,39.72,161.51,2,0,0,0,0,0,4.0,4.0,1,0,False,True,False,0.8397826189184346
13271,03-Mar-23,Bowling,Powerplay,4,4,Bowler A,13.81,129.91,0,0,0,1,0,0,4.0,5.0,1,0,False,True,False,-1.807383536826863
13271,03-Mar-23,Bowling,Powerplay,4,5,Bowler A,39.66,142.06,1,0,0,0,0,0,4.0,6.0,1,0,False,True,False,0.8336525544898463
13271,03-Mar-23,Bowling,Death,17,1,Bowler A,39.41,133.96,0,0,1,1,1,0,17.0,2.0,1,0,False,True,False,0.8081106193707293
13271,03-Mar-23,Bowling,Death,17,2,Bowler A,29.99,153.14,1,0,1,0,0,0,17.0,3.0,1,0,False,True,False,-0.15430949591760357
13271,03-Mar-23,Bowling,Death,17,3,Bowler A,42.46,152.34,0,0,1,1,1,0,17.0,4.0,1,0,False,True,False,1.1197222278239585
13271,03-Mar-23,Bowling,Death,17,4,Bowler A,51.86,137.25,1,0,1,0,0,1,17.0,5.0,1,0,False,True,False,2.080098988302762
13271,03-Mar-23,Bowling,Death,17,5,Bowler A,29.99,159.59,0,1,1,1,1,0,17.0,6.0,1,0,False,True,False,-0.15430949591760357
13271,03-Mar-23,Bowling,Death,20,1,Bowler A,42.1,205.13,2,0,1,0,0,0,20.0,2.0,1,0,False,True,False,1.0829418412524299
13271,03-Mar-23,Bowling,Death,20,2,Bowler A,23.23,155.57,2,0,1,0,0,1,20.0,3.0,1,0,False,True,False,-0.8449634215385302
13271,03-Mar-23,Bowling,Death,20,3,Bowler A,37.76,143.39,0,1,1,1,1,0,20.0,4.0,1,0,False,True,False,0.6395338475845563
13271,03-Mar-23,Bowling,Death,20,4,Bowler A,25.59,108.21,0,0,1,1,1,0,20.0,5.0,1,0,False,True,False,-0.6038475540140646
13271,03-Mar-23,Bowling,Death,20,5,Bowler A,33.45,128.8,3,0,1,0,0,0,20.0,6.0,1,0,False,True,False,0.19919088613097777
13641,03-Apr-22,Bowling,Powerplay,3,1,Bowler A,32.07,127.17,4,0,0,0,0,1,3.0,2.0,1,0,False,True,False,0.05819940427345102
13641,03-Apr-22,Bowling,Powerplay,3,2,Bowler A,33.85,138.08,0,1,0,1,0,0,3.0,3.0,1,0,False,True,False,0.24005798232156503
13641,03-Apr-22,Bowling,Powerplay,3,3,Bowler A,29.86,143.52,1,0,0,0,0,0,3.0,4.0,1,0,False,True,False,-0.16759130217954438
13641,03-Apr-22,Bowling,Powerplay,3,4,Bowler A,45.48,119.7,1,0,0,0,0,0,3.0,5.0,1,0,False,True,False,1.4282688040628928
13641,03-Apr-22,Bowling,Powerplay,3,5,Bowler A,21.01,144.44,1,0,0,0,0,0,3.0,6.0,1,0,False,True,False,-1.07177580539629
13641,03-Apr-22,Bowling,Powerplay,4,1,Bowler A,34.3,131.94,0,1,0,1,0,1,4.0,2.0,1,0,False,True,False,0.28603346553597536
13641,03-Apr-22,Bowling,Powerplay,4,2,Bowler A,11.16,160.63,0,1,0,1,0,0,4.0,3.0,1,0,False,True,False,-2.078128049089505
13641,03-Apr-22,Bowling,Powerplay,4,3,Bowler A,24.21,132.84,0,0,0,1,0,0,4.0,4.0,1,0,False,True,False,-0.7448390358715911
13641,03-Apr-22,Bowling,Powerplay,4,4,Bowler A,26.51,106.01,0,0,0,1,0,0,4.0,5.0,1,0,False,True,False,-0.5098532327757135
13641,03-Apr-22,Bowling,Powerplay,4,5,Bowler A,13.39,145.71,0,0,0,1,0,0,4.0,6.0,1,0,False,True,False,-1.85029398782698
13641,03-Apr-22,Bowling,Death,16,1,Bowler A,54.58,113.63,3,0,1,0,0,0,16.0,2.0,1,0,False,True,False,2.357995242398756
13641,03-Apr-22,Bowling,Death,16,2,Bowler A,43.13,147.81,1,0,1,0,0,0,16.0,3.0,1,0,False,True,False,1.1881746139431926
13641,03-Apr-22,Bowling,Death,16,3,Bowler A,49.09,154.64,1,0,1,0,0,0,16.0,4.0,1,0,False,True,False,1.7970943471829446
13641,03-Apr-22,Bowling,Death,16,4,Bowler A,36.05,156.05,1,0,1,0,0,0,16.0,5.0,1,0,False,True,False,0.4648270113697952
13641,03-Apr-22,Bowling,Death,16,5,Bowler A,34.36,142.94,0,0,1,1,1,0,16.0,6.0,1,0,False,True,False,0.29216352996456374
13641,03-Apr-22,Bowling,Death,17,1,Bowler A,32.44,145.76,0,0,1,1,1,0,17.0,2.0,1,0,False,True,False,0.09600146824974409
13641,03-Apr-22,Bowling,Death,17,2,Bowler A,37.69,157.55,2,0,1,0,0,0,17.0,3.0,1,0,False,True,False,0.6323821057512036
13641,03-Apr-22,Bowling,Death,17,3,Bowler A,28.46,166.85,4,0,1,0,0,0,17.0,4.0,1,0,False,True,False,-0.31062613884660006
13641,03-Apr-22,Bowling,Death,17,4,Bowler A,31.07,132.58,1,0,1,0,0,0,17.0,5.0,1,0,False,True,False,-0.04396833620301745
13641,03-Apr-22,Bowling,Death,17,5,Bowler A,37.93,139.87,1,0,1,0,0,0,17.0,6.0,1,0,False,True,False,0.6569023634655562
14311,02-Jul-22,Batting,Powerplay,2,1,Bowler A,15.04,124.73,4,0,0,0,0,0,2.0,2.0,1,0,True,False,False,-1.6817172160408072
14311,02-Jul-22,Batting,Powerplay,2,2,Bowler A,51.42,115.08,0,0,0,1,0,0,2.0,3.0,1,0,True,False,False,2.035145182493116
14311,02-Jul-22,Batting,Powerplay,2,3,Bowler A,20.88,139.41,2,0,0,0,0,0,2.0,4.0,1,0,True,False,False,-1.0850576116582313
14311,02-Jul-22,Batting,Powerplay,2,4,Bowler A,16.95,103.03,1,0,0,0,0,0,2.0,5.0,1,0,True,False,False,-1.4865768317307524
14311,02-Jul-22,Batting,Powerplay,2,5,Bowler A,21.69,126.08,0,0,0,1,0,0,2.0,6.0,1,0,True,False,False,-1.0023017418722915
14311,02-Jul-22,Batting,Powerplay,4,1,Bowler A,17.0,127.32,0,0,0,1,0,0,4.0,2.0,1,0,True,False,False,-1.4814684447069288
14311,02-Jul-22,Batting,Powerplay,4,2,Bowler A,22.74,119.53,0,0,0,1,0,0,4.0,3.0,1,0,True,False,False,-0.895025614372
14311,02-Jul-22,Batting,Powerplay,4,3,Bowler A,30.68,116.56,0,0,0,1,0,0,4.0,4.0,1,0,True,False,False,-0.08381375498884021
14311,02-Jul-22,Batting,Powerplay,4,4,Bowler A,30.88,116.34,0,0,0,1,0,0,4.0,5.0,1,0,True,False,False,-0.06338020689354658
14311,02-Jul-22,Batting,Powerplay,4,5,Bowler A,31.9,156.51,0,0,0,1,0,0,4.0,6.0,1,0,True,False,False,0.04083088839245121
14311,02-Jul-22,Batting,Death,16,1,Bowler A,41.72,119.99,4,0,1,0,0,0,16.0,2.0,1,0,True,False,False,1.0441180998713715
14311,02-Jul-22,Batting,Death,16,2,Bowler A,21.09,140.35,0,0,1,1,1,0,16.0,3.0,1,0,True,False,False,-1.0636023861581727
14311,02-Jul-22,Batting,Death,16,3,Bowler A,12.34,142.98,6,0,1,0,0,0,16.0,4.0,1,0,True,False,False,-1.957570115327272
14311,02-Jul-22,Batting,Death,16,4,Bowler A,21.09,121.06,1,0,1,0,0,0,16.0,5.0,1,0,True,False,False,-1.0636023861581727
14311,02-Jul-22,Batting,Death,16,5,Bowler A,39.51,170.13,2,0,1,0,0,0,16.0,6.0,1,0,True,False,False,0.8183273934183762
14311,02-Jul-22,Batting,Death,17,1,Bowler A,35.38,171.84,1,0,1,0,0,0,17.0,2.0,1,0,True,False,False,0.3963746252505619
14311,02-Jul-22,Batting,Death,17,2,Bowler A,55.92,149.29,0,0,1,1,1,0,17.0,3.0,1,0,True,False,False,2.494900014637224
14311,02-Jul-22,Batting,Death,17,3,Bowler A,33.48,171.2,1,0,1,0,0,0,17.0,4.0,1,0,True,False,False,0.2022559183452712
14311,02-Jul-22,Batting,Death,17,4,Bowler A,33.16,128.04,1,0,1,0,0,0,17.0,5.0,1,0,True,False,False,0.16956224139280127
14311,02-Jul-22,Batting,Death,17,5,Bowler A,51.71,131.97,1,0,1,0,0,0,17.0,6.0,1,0,True,False,False,2.0647738272312917
14861,02-Nov-23,Bowling,Powerplay,2,1,Bowler B,15.6,144.06,0,1,0,1,0,0,2.0,2.0,1,0,False,True,False,-1.6245032813739848
14861,02-Nov-23,Bowling,Powerplay,2,2,Bowler B,44.48,117.36,0,0,0,1,0,0,2.0,3.0,1,0,False,True,False,1.3261010635864243
14861,02-Nov-23,Bowling,Powerplay,2,3,Bowler B,20.69,143.84,0,0,0,1,0,0,2.0,4.0,1,0,False,True,False,-1.10446948234876
14861,02-Nov-23,Bowling,Powerplay,2,4,Bowler B,37.58,125.96,0,0,0,1,0,0,2.0,5.0,1,0,False,True,False,0.621143654298792
14861,02-Nov-23,Bowling,Powerplay,2,5,Bowler B,31.05,145.36,0,0,0,1,0,0,2.0,6.0,1,0,False,True,False,-0.04601169101254677
14861,02-Nov-23,Bowling,Powerplay,3,1,Bowler B,32.24,144.63,0,0,0,1,0,0,3.0,2.0,1,0,False,True,False,0.07556792015445084
14861,02-Nov-23,Bowling,Powerplay,3,2,Bowler B,34.17,156.29,1,0,0,0,0,0,3.0,3.0,1,0,False,True,False,0.27275165927403494
14861,02-Nov-23,Bowling,Powerplay,3,3,Bowler B,19.86,116.32,2,0,0,0,0,0,3.0,4.0,1,0,False,True,False,-1.1892687069442291
14861,02-Nov-23,Bowling,Powerplay,3,4,Bowler B,25.12,105.55,1,0,0,0,0,0,3.0,5.0,1,0,False,True,False,-0.6518663920380048
14861,02-Nov-23,Bowling,Powerplay,3,5,Bowler B,29.35,118.71,1,0,0,0,0,0,3.0,6.0,1,0,False,True,False,-0.2196968498225431
14861,02-Nov-23,Bowling,Death,19,1,Bowler B,31.98,155.04,0,1,1,1,1,0,19.0,2.0,1,0,False,True,False,0.04900430763056888
14861,02-Nov-23,Bowling,Death,19,2,Bowler B,8.58,167.08,0,1,1,1,1,0,19.0,3.0,1,0,False,True,False,-2.3417208195187933
14861,02-Nov-23,Bowling,Death,19,3,Bowler B,22.3,137.21,4,0,1,0,0,0,19.0,4.0,1,0,False,True,False,-0.9399794201816458
14861,02-Nov-23,Bowling,Death,19,4,Bowler B,31.46,136.48,0,1,1,1,1,0,19.0,5.0,1,0,False,True,False,-0.0041229174171946836
14861,02-Nov-23,Bowling,Death,19,5,Bowler B,43.42,191.37,0,1,1,1,1,0,19.0,6.0,1,0,False,True,False,1.2178032586813683
15313,14-Oct-22,Batting,Powerplay,1,1,Bowler A,32.0,125.79,0,0,0,1,0,0,1.0,2.0,1,0,True,False,False,0.0510476624400982
15313,14-Oct-22,Batting,Powerplay,1,2,Bowler A,29.22,144.86,4,0,0,0,0,0,1.0,3.0,1,0,True,False,False,-0.23297865608448426
15313,14-Oct-22,Batting,Powerplay,1,3,Bowler A,36.02,146.27,0,0,0,1,0,0,1.0,4.0,1,0,True,False,False,0.46176197915550177
15313,14-Oct-22,Batting,Powerplay,1,4,Bowler A,22.22,120.03,4,0,0,0,0,0,1.0,5.0,1,0,True,False,False,-0.9481528394197636
15313,14-Oct-22,Batting,Powerplay,1,5,Bowler A,26.09,149.3,0,0,0,1,0,0,1.0,6.0,1,0,True,False,False,-0.5527636837758305
